time,open,high,low,close,volume
2015-12-31 12:00:00,426.2,433.89,423.12,430.89,3904.11900584
2016-01-01 00:00:00,430.89,436,429.08,432.72,2079.49904728
2016-01-01 12:00:00,433.62,435,427.2,433.82,1708.61212675
2016-01-02 00:00:00,434.87,435.99,431.5,432.31,1333.80082261
2016-01-02 12:00:00,432.31,434.97,430.42,433.55,1638.26262674
2016-01-03 00:00:00,433.2,434.09,429.03,430.77,1738.63318017
2016-01-03 12:00:00,430.77,431.71,424.06,431.04,2832.46385824
2016-01-04 00:00:00,431.54,432.43,428.44,431.87,1521.04186054
2016-01-04 12:00:00,431.87,435.86,430.25,434.17,4196.55359745
2016-01-05 00:00:00,433.31,435.39,430.2,431.62,1495.16134263
2016-01-05 12:00:00,431.62,433.22,429.5,432.43,2386.55951932
2016-01-06 00:00:00,432.45,432.67,426.54,430.94,3510.28543267
2016-01-06 12:00:00,430.94,431.95,429.11,429.56,1997.32879357
2016-01-07 00:00:00,429.99,451.96,429.25,450.55,9734.99069179
2016-01-07 12:00:00,450.5,459.16,449.23,457,7098.42846489
2016-01-08 00:00:00,456.87,465,450,454.8,5336.33502077
2016-01-08 12:00:00,454.8,456.67,444.51,452.7,4922.65956443
2016-01-09 00:00:00,452.02,454,446.68,450.21,2181.26001423
2016-01-09 12:00:00,449.47,452.99,446.68,448.84,2214.78498667
2016-01-10 00:00:00,448.84,449.89,441.13,442.89,1905.28352271
2016-01-10 12:00:00,442.91,448.79,440.8,448.79,2173.32713094
2016-01-11 00:00:00,448.2,451.13,438,444.65,5499.6719031
2016-01-11 12:00:00,444.78,449,443.17,448,2486.78652815
2016-01-12 00:00:00,448,448,442.88,444.81,1605.60621986
2016-01-12 12:00:00,444.77,447.34,434.35,434.85,5325.29032877
2016-01-13 00:00:00,434.78,438.35,425.01,429.18,6361.28681009
2016-01-13 12:00:00,429.18,433.09,424.5,432.64,3705.73423542
2016-01-14 00:00:00,432.64,434,427,429.74,1950.36271868
2016-01-14 12:00:00,429.17,432.1,428.01,429.55,2470.54944121
2016-01-15 00:00:00,429.55,429.8,400.76,402.79,12634.0171322
2016-01-15 12:00:00,402.79,406.28,360,360,24692.68428233
2016-01-16 00:00:00,360.62,379.88,352,369.41,10885.73506275
2016-01-16 12:00:00,369.43,392.07,366.06,386.91,14133.51693042
2016-01-17 00:00:00,387.8,391.14,376,380.52,4957.31620467
2016-01-17 12:00:00,380.52,387.75,376,380.16,3459.62743042
2016-01-18 00:00:00,379.94,383.08,373.63,381.6,3129.1796721
2016-01-18 12:00:00,381.6,388.5,379.11,385.49,3886.35026373
2016-01-19 00:00:00,385.47,386.43,381.45,384.96,1753.22237663
2016-01-19 12:00:00,384.2,386.92,375.59,376.76,5469.78086569
2016-01-20 00:00:00,376.9,378.76,372.53,377.75,4300.7835152
2016-01-20 12:00:00,378.16,422.98,375.75,416.32,20872.13390428
2016-01-21 00:00:00,418.9,421.25,410.64,413.47,4136.02430328
2016-01-21 12:00:00,413.35,416.65,404.59,409.59,5278.53276866
2016-01-22 00:00:00,409.42,410.07,388.32,391.05,5423.64813804
2016-01-22 12:00:00,390.1,398.16,374.45,382.55,9321.10962495
2016-01-23 00:00:00,382.85,395,381.73,388.36,3730.3926864
2016-01-23 12:00:00,389.04,393.31,381.05,386.4,3934.49824147
2016-01-24 00:00:00,386.37,402.52,385.36,398.77,1660.82515274
2016-01-24 12:00:00,398.71,405.97,394.08,402.16,3788.02006046
2016-01-25 00:00:00,402.16,402.31,392.17,396.45,3168.82577793
2016-01-25 12:00:00,396.23,399.77,385.5,390.9,4872.00507815
2016-01-26 00:00:00,390.1,397.7,388,393.85,2276.62532168
2016-01-26 12:00:00,393.85,396.22,386.2,391.77,4312.52822854
2016-01-27 00:00:00,391.77,397,390.31,394.74,2011.13826055
2016-01-27 12:00:00,394.74,396.12,392.78,394.95,2251.49107608
2016-01-28 00:00:00,394.62,395.56,376,382.66,8102.26209857
2016-01-28 12:00:00,382.65,384.39,378.01,379.75,3311.78339995
2016-01-29 00:00:00,379.55,383.99,363.73,381.05,8138.72965041
2016-01-29 12:00:00,381.22,383.05,372,378.22,5405.41576958
2016-01-30 00:00:00,378.12,380.42,374.55,378.19,997.02633091
2016-01-30 12:00:00,377.62,380.37,372.95,375.64,1590.08084236
2016-01-31 00:00:00,376.38,379.3,375.06,377.33,1286.01193337
2016-01-31 12:00:00,378.34,379.15,364.7,368.49,2880.65388697
2016-02-01 00:00:00,368.49,378.2,366.53,375.01,3331.37781952
2016-02-01 12:00:00,376,376.47,369.06,371.81,3923.75639817
2016-02-02 00:00:00,371.79,375,369.73,372.13,2231.54523254
2016-02-02 12:00:00,372.36,375,370.93,373.05,3487.56809102
2016-02-03 00:00:00,373.05,374,369.16,370.42,2233.98331797
2016-02-03 12:00:00,370.42,372.6,365,368.38,4873.80329039
2016-02-04 00:00:00,368.4,373.8,367.95,373.8,2021.1530298
2016-02-04 12:00:00,373.67,391.88,372.56,387.82,11425.32665317
2016-02-05 00:00:00,388,389.14,384.71,388.89,2850.09109756
2016-02-05 12:00:00,388.9,389.5,382.99,385,4522.52285873
2016-02-06 00:00:00,384.97,384.98,371.35,375.7,3872.43420135
2016-02-06 12:00:00,375.51,377.4,372.55,375.39,1863.26286421
2016-02-07 00:00:00,375.39,378.1,373.23,377.59,979.47058179
2016-02-07 12:00:00,377.35,380,373.04,375,1906.01183667
2016-02-08 00:00:00,375,378.99,374.58,378,1406.76301166
2016-02-08 12:00:00,377.99,377.99,369.99,370.91,5536.34515516
2016-02-09 00:00:00,370.95,374,369.12,373.26,2253.03735859
2016-02-09 12:00:00,373.26,377,372.11,373.2,3526.64274221
2016-02-10 00:00:00,373.69,379,372.12,377.58,3161.46583913
2016-02-10 12:00:00,377.58,383.85,375.87,379.66,6845.1674534
2016-02-11 00:00:00,379.34,380.5,375.57,379.53,2228.00977684
2016-02-11 12:00:00,379.62,380,373.54,377.98,5243.95061325
2016-02-12 00:00:00,377.98,381.5,377.07,380.64,2185.65260151
2016-02-12 12:00:00,380,383.48,379.18,383.27,3810.43975995
2016-02-13 00:00:00,383,389.35,382,388.2,4560.51863866
2016-02-13 12:00:00,388.2,390.99,386.62,390.99,2764.44770268
2016-02-14 00:00:00,390.99,401.22,390.59,399.32,5246.59704944
2016-02-14 12:00:00,398.9,406.71,394.45,405,4511.79566188
2016-02-15 00:00:00,405.5,409.71,396,398.73,4645.47066545
2016-02-15 12:00:00,397.7,404.89,393.4,399.28,3261.22707074
2016-02-16 00:00:00,399.5,402,396,401,1951.74191271
2016-02-16 12:00:00,400.55,407.8,399.07,407.51,6403.08840822
2016-02-17 00:00:00,407.51,415.51,404,412.51,4051.26507305
2016-02-17 12:00:00,412.78,421.11,411.75,415.54,7791.51275569
2016-02-18 00:00:00,415.59,424.9,413.4,423.06,3541.20141024
2016-02-18 12:00:00,423.09,424.8,415.47,421.18,5047.7252784
