time,open,high,low,close,volume
2016-01-01,430.89,436.0,427.2,433.82,3788.11117403
2016-01-02,434.87,435.99,430.42,433.55,2972.06344935
2016-01-03,433.2,434.09,424.06,431.04,4571.09703841
2016-01-04,431.54,435.86,428.44,434.17,5717.59545799
2016-01-05,433.31,435.39,429.5,432.43,3881.72086195
2016-01-06,432.45,432.67,426.54,429.56,5507.61422624
2016-01-07,429.99,459.16,429.25,457.0,16833.41915668
2016-01-08,456.87,465.0,444.51,452.7,10258.9945852
2016-01-09,452.02,454.0,446.68,448.84,4396.0450009
2016-01-10,448.84,449.89,440.8,448.79,4078.61065365
2016-01-11,448.2,451.13,438.0,448.0,7986.45843125
2016-01-12,448.0,448.0,434.35,434.85,6930.89654863
2016-01-13,434.78,438.35,424.5,432.64,10067.02104551
2016-01-14,432.64,434.0,427.0,429.55,4420.91215989
2016-01-15,429.55,429.8,360.0,360.0,37326.70141453
2016-01-16,360.62,392.07,352.0,386.91,25019.25199317
2016-01-17,387.8,391.14,376.0,380.16,8416.94363509
2016-01-18,379.94,388.5,373.63,385.49,7015.52993583
2016-01-19,385.47,386.92,375.59,376.76,7223.00324232
2016-01-20,376.9,422.98,372.53,416.32,25172.91741948
2016-01-21,418.9,421.25,404.59,409.59,9414.55707194
2016-01-22,409.42,410.07,374.45,382.55,14744.75776299
2016-01-23,382.85,395.0,381.05,386.4,7664.89092787
2016-01-24,386.37,405.97,385.36,402.16,5448.8452132
2016-01-25,402.16,402.31,385.5,390.9,8040.83085608
2016-01-26,390.1,397.7,386.2,391.77,6589.15355022
2016-01-27,391.77,397.0,390.31,394.95,4262.62933663
2016-01-28,394.62,395.56,376.0,379.75,11414.04549852
2016-01-29,379.55,383.99,363.73,378.22,13544.14541999
2016-01-30,378.12,380.42,372.95,375.64,2587.10717327
2016-01-31,376.38,379.3,364.7,368.49,4166.66582034
2016-02-01,368.49,378.2,366.53,371.81,7255.13421769
2016-02-02,371.79,375.0,369.73,373.05,5719.11332356
2016-02-03,373.05,374.0,365.0,368.38,7107.78660836
2016-02-04,368.4,391.88,367.95,387.82,13446.47968297
2016-02-05,388.0,389.5,382.99,385.0,7372.61395629
2016-02-06,384.97,384.98,371.35,375.39,5735.69706556
2016-02-07,375.39,380.0,373.04,375.0,2885.48241846
2016-02-08,375.0,378.99,369.99,370.91,6943.10816682
2016-02-09,370.95,377.0,369.12,373.2,5779.6801008
2016-02-10,373.69,383.85,372.12,379.66,10006.63329253
2016-02-11,379.34,380.5,373.54,377.98,7471.96039009
2016-02-12,377.98,383.48,377.07,383.27,5996.09236146
2016-02-13,383.0,390.99,382.0,390.99,7324.96634134
2016-02-14,390.99,406.71,390.59,405.0,9758.39271132
2016-02-15,405.5,409.71,393.4,399.28,7906.69773619
2016-02-16,399.5,407.8,396.0,407.51,8354.83032093
2016-02-17,407.51,421.11,404.0,415.54,11842.77782874
