time,open,high,low,close,volume
2022-05-01,2728.08,2847.66,2718.2,2826.82,5271.11168799
2022-05-02,2826.79,2882.73,2778.77,2856.35,8683.31864475
2022-05-03,2858.08,2862.02,2754.08,2780.17,5958.84558506
2022-05-04,2780.74,2967.49,2771.0,2939.83,10357.69377848
2022-05-05,2939.71,2953.84,2688.0,2747.44,15682.91498993
2022-05-06,2747.44,2756.76,2630.3,2693.1,9405.53243758
2022-05-07,2693.18,2701.76,2585.82,2635.9,4938.82294544
2022-05-08,2634.57,2640.03,2485.0,2522.67,10778.25941891
2022-05-09,2520.25,2528.99,2223.12,2232.06,35214.91817923
2022-05-10,2230.99,2456.66,2198.78,2342.12,39127.11660953
2022-05-11,2340.97,2450.0,1997.73,2075.77,49199.46893931
2022-05-12,2082.43,2182.58,1700.0,1950.45,52487.44097612
2022-05-13,1950.99,2145.21,1936.34,2007.45,27035.66717454
2022-05-14,2006.65,2065.95,1947.47,2054.23,6805.44865564
2022-05-15,2053.91,2165.49,1998.13,2143.09,6141.1475447
2022-05-16,2143.73,2143.73,1976.7,2020.84,17248.38334323
2022-05-17,2021.27,2120.94,2006.0,2089.36,15434.26238759
2022-05-18,2089.57,2108.09,1906.73,1911.22,13161.42818069
2022-05-19,1912.77,2037.78,1901.17,2017.85,13559.48203222
2022-05-20,2018.14,2062.65,1920.93,1957.09,10552.41950748
2022-05-21,1956.99,1988.23,1935.26,1973.24,3795.08159565
2022-05-22,1974.05,2053.71,1964.06,2040.72,7035.58799829
2022-05-23,2039.93,2085.0,1956.04,1971.35,13168.24937626
2022-05-24,1972.87,1991.58,1910.8,1978.13,7075.63811297
2022-05-25,1976.38,2019.63,1932.03,1941.5,8125.12405006
2022-05-26,1941.11,1964.06,1735.0,1791.38,20385.03027206
2022-05-27,1789.97,1819.49,1700.81,1722.9,26445.24582329
2022-05-28,1728.25,1806.82,1719.97,1790.98,9538.21631437
2022-05-29,1790.98,1825.0,1761.71,1811.84,9402.96900193
2022-05-30,1811.57,2011.54,1801.67,1996.74,20104.33371762
2022-05-31,1996.82,2015.24,1924.04,1940.55,15807.47970713
2022-06-01,1940.91,1970.79,1759.79,1817.05,12804.09709548
2022-06-02,1816.03,1851.7,1780.61,1832.68,12409.75467616
2022-06-03,1833.5,1842.87,1735.0,1773.9,9805.65107146
2022-06-04,1774.1,1814.02,1747.07,1803.2,4335.0350159
2022-06-05,1804.26,1828.88,1773.67,1804.98,5634.30982927
2022-06-06,1804.0,1917.63,1804.0,1859.06,18093.28517259
2022-06-07,1858.9,1874.03,1725.21,1812.24,15694.77140392
2022-06-08,1812.87,1837.9,1764.91,1790.41,10775.92263494
2022-06-09,1791.27,1831.35,1776.0,1787.13,7325.87976656
2022-06-10,1785.89,1803.14,1654.0,1660.55,17251.25814223
2022-06-11,1660.71,1680.33,1500.0,1530.3,24715.6042745
2022-06-12,1532.19,1543.02,1422.67,1432.9,22429.33907164
2022-06-13,1433.85,1453.12,1164.35,1208.7,102183.31659192
2022-06-14,1204.6,1266.25,1075.0,1205.58,76463.67106998
2022-06-15,1205.73,1246.3,1013.0,1237.23,71923.37452926
2022-06-16,1235.99,1255.55,1050.63,1067.6,24656.25250981
2022-06-17,1067.78,1115.88,1050.0,1084.42,15789.40989593
2022-06-18,1085.83,1096.43,880.0,996.28,65086.39235373
2022-06-19,994.63,1158.04,935.49,1127.33,31252.83683911
2022-06-20,1127.77,1169.5,1050.89,1127.51,22559.08288054
2022-06-21,1127.11,1193.0,1108.76,1124.54,40008.48119853
2022-06-22,1125.21,1128.46,1041.45,1048.32,21824.88039107
2022-06-23,1048.7,1153.48,1044.25,1143.97,20713.01584057
2022-06-24,1144.11,1244.27,1131.49,1224.72,17869.43343402
2022-06-25,1225.65,1255.79,1178.96,1241.83,14071.38203221
2022-06-26,1241.4,1281.43,1193.39,1197.95,11724.42849267
2022-06-27,1197.58,1237.91,1172.03,1190.21,8900.90622675
2022-06-28,1191.1,1236.88,1134.71,1142.52,40415.77258055
2022-06-29,1141.98,1154.28,1086.52,1098.46,12120.27888895
2022-06-30,1099.28,1105.05,996.12,1071.13,41086.85880311
2022-07-01,1070.1,1115.22,1032.63,1058.29,16675.42061468
2022-07-02,1058.83,1077.19,1026.52,1065.56,6049.7005739
2022-07-03,1065.62,1086.37,1039.16,1073.25,5743.75364934
2022-07-04,1073.68,1159.07,1044.17,1149.57,9859.34992278
2022-07-05,1150.12,1175.0,1075.0,1132.34,35244.61209124
2022-07-06,1131.94,1203.0,1110.55,1186.01,27725.68285363
2022-07-07,1186.01,1253.64,1162.94,1237.64,17966.2317718
2022-07-08,1237.74,1275.04,1192.27,1213.61,18302.55295108
2022-07-09,1212.94,1234.43,1203.81,1216.49,3288.6295416
2022-07-10,1216.84,1218.33,1152.24,1166.53,4367.46345671
2022-07-11,1166.35,1170.52,1091.1,1095.64,27224.61870487
