time,open,high,low,close,volume
2022-05-01,0.58401,0.61234,0.57601,0.60808,13010459.10479128
2022-05-02,0.60613,0.63094,0.59815,0.61434,47538176.98447454
2022-05-03,0.61575,0.62776,0.59575,0.60454,28635994.4305259
2022-05-04,0.60463,0.65006,0.60463,0.64592,37458148.49552806
2022-05-05,0.64532,0.65701,0.58,0.59843,40380752.81420766
2022-05-06,0.59785,0.61612,0.58707,0.60192,68489253.47586797
2022-05-07,0.60244,0.60415,0.56931,0.58045,7081683.13081135
2022-05-08,0.58026,0.58235,0.55723,0.56609,12115226.54604456
2022-05-09,0.56568,0.57835,0.46842,0.48694,46447279.19626044
2022-05-10,0.49015,0.53612,0.47254,0.51313,43438955.87070629
2022-05-11,0.513,0.52255,0.36444,0.41464,70612598.38508041
2022-05-12,0.41543,0.42771,0.33362,0.38442,104593528.67232516
2022-05-13,0.38467,0.46391,0.38055,0.42153,124228345.6601418
2022-05-14,0.42334,0.43995,0.395,0.42568,26302666.88329778
2022-05-15,0.4228,0.44893,0.41452,0.44757,16791773.02110926
2022-05-16,0.44625,0.44625,0.408,0.42105,54635122.34461349
2022-05-17,0.42283,0.43964,0.4167,0.43704,56094281.69997289
2022-05-18,0.4392,0.44175,0.40308,0.40437,49297520.25910289
2022-05-19,0.40657,0.42342,0.39,0.4201,48071087.7974333
2022-05-20,0.41917,0.44,0.40071,0.41037,87839845.28511582
2022-05-21,0.40991,0.41729,0.40322,0.41393,9866474.78179265
2022-05-22,0.41406,0.42451,0.40948,0.42133,14860138.72208781
2022-05-23,0.4208,0.42805,0.4,0.40408,48188365.79938376
2022-05-24,0.40407,0.41308,0.39032,0.408,56626324.03190039
2022-05-25,0.40813,0.41243,0.39409,0.40519,52623081.67584659
2022-05-26,0.40628,0.41037,0.37501,0.3918,62303296.66857527
2022-05-27,0.39259,0.40221,0.37553,0.38121,107592873.50473937
2022-05-28,0.38166,0.38812,0.38,0.38592,16521040.70534058
2022-05-29,0.38628,0.38979,0.37936,0.3885,16577742.4032433
2022-05-30,0.38886,0.41947,0.38657,0.41827,57969691.50914564
2022-05-31,0.41785,0.43282,0.40605,0.42073,53856966.1247776
2022-06-01,0.42091,0.426,0.38854,0.39777,62167685.56608615
2022-06-02,0.39699,0.40664,0.38951,0.40479,56454535.45915988
2022-06-03,0.40468,0.40974,0.38255,0.38965,82024562.84332488
2022-06-04,0.39027,0.3939,0.38429,0.39226,8678095.53530875
2022-06-05,0.39223,0.39918,0.38931,0.3951,12981517.77714735
2022-06-06,0.39495,0.40873,0.39384,0.40263,57856592.78099322
2022-06-07,0.40071,0.41657,0.38367,0.40746,60688262.12350181
2022-06-08,0.40765,0.40988,0.39422,0.39999,50760733.26029345
2022-06-09,0.4005,0.40347,0.39554,0.39963,41751585.31322263
2022-06-10,0.39963,0.41104,0.37554,0.38106,87633340.6072621
2022-06-11,0.38088,0.38804,0.35515,0.3596,16352568.27289203
2022-06-12,0.35962,0.36486,0.33935,0.34278,25572316.87922682
